site,decision_date,reference_7d_mm,ensemble_mean_7d_mm,bias_7d_mm,p10_7d_mm,p90_7d_mm,min_7d_mm,max_7d_mm,covered_p10_p90,covered_min_max
P1,2024-07-16,7.5,43.33,35.83,18.81,73.60000000000001,14.59,223.96666666666667,False,False
P15,2024-07-16,0.0,1.209032258064516,1.209032258064516,0.5,2.3,0.1,2.5,False,False
P2,2024-07-16,1.0,9.472150537634409,8.472150537634409,1.8733333333333337,21.270000000000003,0.71,23.353333333333335,False,True
P3,2024-07-16,3.6000000000000005,14.895698924731182,11.29569892473118,3.893333333333333,31.1,1.5400000000000003,46.330000000000005,False,True
P4,2024-07-16,1.0,18.342473118279575,17.342473118279575,3.1000000000000005,44.5,0.6033333333333333,61.2,False,True
P1,2024-07-28,0.9,4.347956989247311,3.4479569892473108,0.6000000000000001,9.33,0.0999999999999999,23.7,True,True
P15,2024-07-28,0.0,0.14419354838709678,0.14419354838709678,0.0,0.5,0.0,1.0000000000000002,True,True
P2,2024-07-28,39.7,27.715913978494626,-11.984086021505377,9.966666666666667,53.833333333333336,7.300000000000001,73.54,True,True
P3,2024-07-28,22.7,30.587849462365593,7.887849462365594,13.233333333333333,65.36666666666667,4.366666666666667,87.16,True,True
P4,2024-07-28,41.300000000000004,14.77258064516129,-26.527419354838713,2.256666666666667,29.599999999999998,0.1,49.019999999999996,False,True
P1,2024-08-05,4.4,15.775913978494625,11.375913978494625,6.710000000000001,25.21,3.61,60.940000000000005,False,True
P15,2024-08-05,3.4000000000000004,1.9306451612903228,-1.4693548387096775,0.55,3.900000000000001,0.21000000000000002,7.2,True,True
P2,2024-08-05,0.0,2.9236559139784943,2.9236559139784943,0.62,8.67,0.01,11.486666666666666,False,False
P3,2024-08-05,38.3,18.508602150537637,-19.79139784946236,9.950000000000001,33.04666666666667,5.133333333333334,43.17,False,True
P4,2024-08-05,8.3,6.66967741935484,-1.630322580645161,0.93,17.55,0.41000000000000003,26.18,True,True
P1,2024-08-13,23.2,18.35602150537634,-4.843978494623659,8.92,37.050000000000004,2.7,54.10000000000001,True,True
P15,2024-08-13,5.4,6.4403225806451605,1.0403225806451601,2.3,10.7,2.1,17.1,True,True
P2,2024-08-13,35.3,34.23591397849463,-1.0640860215053678,12.700000000000001,55.300000000000004,8.893333333333334,85.10000000000001,True,True
P3,2024-08-13,49.4,30.249032258064513,-19.150967741935485,5.4,61.306666666666665,0.2599999999999999,90.9,True,True
P4,2024-08-13,32.1,21.137096774193544,-10.962903225806457,9.24,36.7,3.1000000000000005,43.666666666666664,True,True
P1,2024-08-21,2.7,7.699677419354839,4.999677419354839,2.4000000000000004,13.533333333333333,0.6000000000000001,28.700000000000003,True,True
P15,2024-08-21,0.4,3.462903225806452,3.062903225806452,0.2,7.300000000000001,0.0,10.3,True,True
P2,2024-08-21,25.4,8.670752688172044,-16.729247311827955,2.0,17.5,0.0,28.63,False,True
P3,2024-08-21,12.5,11.160430107526881,-1.3395698924731185,2.7,17.533333333333335,1.5299999999999998,42.900000000000006,True,True
P4,2024-08-21,1.6,8.355376344086022,6.755376344086022,1.3300000000000003,13.34,0.16999999999999998,41.29666666666667,True,True
