id,record_type,original_path,current_path,status,purpose,category,document_type,replaced_by,related_script_ids,formal_reference,runnable,source_sha256,current_sha256
module-gefs-gridmet-bias,script,gefs_gridmet_bias_validation_v1.py,src/s2s_rtist/weather/gefs_gridmet_bias.py,formal,GEFS GridMET bias validation library,weather,,,,true,false,9f43e3b734ac4e33c721ee7bcc5e742c41106d25acccc7f96082ee16fbcfe38f,9f43e3b734ac4e33c721ee7bcc5e742c41106d25acccc7f96082ee16fbcfe38f
module-restart-decision-dataset,script,generate_restart_decision_dataset.py,src/s2s_rtist/pipelines/restart_decision_dataset.py,formal,Restart decision dataset generation pipeline,pipelines,,,,true,false,30d33368fd83df191c97c83c6685d496a8a5070c76f02739bb15d6144bc946cd,affb8790b41058e09d17607cebecc7bf5e6cb249130727acd7297478c8897138
module-rootzone-flux-frequency,script,rootzone_flux_frequency_diagnostic_v1.py,src/s2s_rtist/physics/rootzone_flux_frequency.py,formal,Rootzone flux frequency diagnostics,physics,,,,true,false,f01352c91f1d1577927a76004e5be7bcce6090be942a5aed2f2a10600d918329,3c6007276fba8374cfd8a1ba5d9ff609333045d2af99990b62e1cd24ac6fe71c
module-swap-three-output-labels,script,swap_three_output_labels_v1.py,src/s2s_rtist/labels/swap_three_output_labels.py,formal,SWAP three output label extraction,labels,,,,true,false,de03be065b1770a0f06d5fd9044c0421f6fd124f0ea7dcd362192fa5fb89f263,dd2ae3224e9869d2a2ea6e9cd7801d0eb135f30b89e621c5683e482431f900ec
module-three-output-smoke,script,validate_three_output_smoke_v1.py,src/s2s_rtist/validation/three_output_smoke.py,formal,Three output smoke validation,validation,,,,true,false,9fe3113fb34d4d3eec0333bae7779e849e9eab5f1b0f2735983ef58f3881f874,9fe3113fb34d4d3eec0333bae7779e849e9eab5f1b0f2735983ef58f3881f874
confirmed-5site-smoke,script,run_confirmed_5site_restart_generation_smoke_v1.py,scripts/simulation/run_confirmed_5site_restart_generation_smoke_v1.py,formal,Confirmed five site restart generation smoke runner,simulation,,,,true,true,ef756ee476ddd8d593b8ff75cf9e24100a648812e87a55e73232032ed9603739,f0218d2e57f61525bbfc74a85473b7f73ea464985cd7cdda183cc4eb8c0a24ad
continuous-12site-generation,script,run_continuous_ir_12site_restart_generation_v1.py,scripts/simulation/run_continuous_ir_12site_restart_generation_v1.py,formal,Continuous irrigation 12 site restart generation runner,simulation,,,,true,true,74d011919da6e65ccb3c6fa58766f2b09614d9e42194449d9425b99a21373590,616668f32bb0c025fc25f5fb1d31665fe482053f939b2fc2df7b1eb101a53b62
gefs-gridmet-bias,script,run_gefs_gridmet_bias_validation_v1.py,scripts/diagnostics/run_gefs_gridmet_bias_validation_v1.py,formal,GEFS GridMET bias validation runner,diagnostics,,,,true,true,d8e76ce06c8d544d2c19604e01a82149a3421aee6e33734d4cfca157040e2524,f1c1cc33e738e15f5a607160b9c9de084dfc6e6b46f38a3ba3dcbbb9a1d33d23
rootzone-frequency,script,run_rootzone_flux_frequency_validation_v1.py,scripts/diagnostics/run_rootzone_flux_frequency_validation_v1.py,formal,Rootzone flux frequency validation runner,diagnostics,,,,true,true,fbdd740ef533d86e5475d2af039ac2514bf39f41afe454370d5e1b73e38c78a8,4f8f27f23ff4f589c9b99d496d9eb0f11092b8573369001a3d87cbea60680df7
restart-raw-audit,script,restart_raw_audit_v1.py,scripts/diagnostics/restart_raw_audit_v1.py,formal,Restart raw output audit runner,diagnostics,,,,true,true,175d7d8bf635c7d9b1ed1c0f3cfa2bff169205e36074423bc40ac8c7d9171ebe,175d7d8bf635c7d9b1ed1c0f3cfa2bff169205e36074423bc40ac8c7d9171ebe
